modelKey,code,featureKey,defaultValue
last_365_day_avg_actual_cost,DW_TS_BASIC_last365DayAvgActualCost,DW_TS_BASIC_last365DayAvgActualCost,-9999
last_1_year_international_passenger_late_time,DW_TS_BASIC_last1YearInternationalPassengerLateTime,DW_TS_BASIC_last1YearInternationalPassengerLateTime,-9999
is_credit,DW_TS_BASIC_isCredit,DW_TS_BASIC_isCredit,-9999
first_complete_lng,DW_TS_BASIC_firstCompleteLng,DW_TS_BASIC_firstCompleteLng,-9999
phone_level,DW_TS_BASIC_phoneLevel,DW_TS_BASIC_phoneLevel,-9999
last_60_day_avg_actual_cost,DW_TS_BASIC_last60DayAvgActualCost,DW_TS_BASIC_last60DayAvgActualCost,-9999
last_1_year_passenger_night_finish_days_rate,DW_TS_BASIC_last1YearPassengerNightFinishDaysRate,DW_TS_BASIC_last1YearPassengerNightFinishDaysRate,-9999
last_1_month_click_message_num,DW_TS_BASIC_last1MonthClickMessageNum,DW_TS_BASIC_last1MonthClickMessageNum,-9999
cell_phone_os,DW_TS_BASIC_cellPhoneOs,DW_TS_BASIC_cellPhoneOs,-9999
last_6_month_actual_cost_std,DW_TS_BASIC_last6MonthActualCostStd,DW_TS_BASIC_last6MonthActualCostStd,-9999
first_complete_lat,DW_TS_BASIC_firstCompleteLat,DW_TS_BASIC_firstCompleteLat,-9999
last_6_month_international_driver_finish_orders,DW_TS_BASIC_last6MonthInternationalDriverFinishOrders,DW_TS_BASIC_last6MonthInternationalDriverFinishOrders,-9999
last_1_month_sw_pv,DW_TS_BASIC_last1MonthSwPv,DW_TS_BASIC_last1MonthSwPv,-9999
last_6_month_finish_orders_std,DW_TS_BASIC_last6MonthFinishOrdersStd,DW_TS_BASIC_last6MonthFinishOrdersStd,-9999
last_1_year_passenger_morning_finish_orders_rate,DW_TS_BASIC_last1YearPassengerMorningFinishOrdersRate,DW_TS_BASIC_last1YearPassengerMorningFinishOrdersRate,-9999
last_1_year_rank_s_shop_orders,DW_TS_BASIC_last1YearRankSShopOrders,DW_TS_BASIC_last1YearRankSShopOrders,-9999
last_1_month_total_resource_num,DW_TS_BASIC_last1MonthTotalResourceNum,DW_TS_BASIC_last1MonthTotalResourceNum,-9999
o_d_last14dayinternationaldriverfinishorders,DW_TS_BASIC_last14DayInternationalDriverFinishOrders,DW_TS_BASIC_last14DayInternationalDriverFinishOrders,-9999
reverse_5th_month_actual_cost,DW_TS_BASIC_reverse5thMonthActualCost,DW_TS_BASIC_reverse5thMonthActualCost,-9999
last_1_month_same_geohash6_uv,DW_TS_BASIC_last1MonthSameGeohash6Uv,DW_TS_BASIC_last1MonthSameGeohash6Uv,-9999
last_call_days,DW_TS_BASIC_lastCallDays,DW_TS_BASIC_lastCallDays,-9999
last_1_year_international_passenger_late_order_months,DW_TS_BASIC_last1YearInternationalPassengerLateOrderMonths,DW_TS_BASIC_last1YearInternationalPassengerLateOrderMonths,-9999
last_2_month_online_actual_cost,DW_TS_BASIC_last2MonthOnlineActualCostNew,DW_TS_BASIC_last2MonthOnlineActualCostNew,-9999
last_2_month_avg_actual_cost,DW_TS_BASIC_last2MonthAvgActualCostNew,DW_TS_BASIC_last2MonthAvgActualCostNew,-9999
